frame_time,beacon,seq,tx_id,temperature
0.0,False,28,3,29
40.00099999998929,False,28,3,29
80.00099999998929,False,28,3,29
120.0,False,28,3,29
160.0,False,28,3,29
200.0,False,28,3,29
240.0009999999893,False,28,3,29
280.0009999999893,False,28,3,29
320.0009999999893,False,28,3,29
360.0009999999893,False,28,3,29
400.0009999999893,False,28,3,29
440.0009999999893,False,28,3,29
480.0009999999893,False,28,3,29
520.0009999999893,False,28,3,29
560.0009999999893,False,28,3,29
600.0009999999893,False,28,3,29
640.0009999999893,False,28,3,29
680.0009999999893,False,28,3,29
720.0009999999893,False,28,3,29
760.0009999999893,False,28,3,29
800.0009999999893,False,28,3,29
840.0009999999893,False,28,3,29
880.0009999999893,False,28,3,29
920.0009999999893,False,28,3,29
960.0009999999893,False,28,3,29
1000.0009999999893,False,28,3,29
1040.0009999999893,False,28,3,29
1080.0009999999893,False,28,3,29
1120.0009999999893,False,28,3,29
1160.0009999999893,False,28,3,29
2000.0009999999893,False,29,3,29
2040.0009999999893,False,29,3,29
2080.0009999999893,False,29,3,29
2120.0009999999893,False,29,3,29
2160.0009999999893,False,29,3,29
2200.0009999999893,False,29,3,29
2240.0009999999893,False,29,3,29
2280.0009999999893,False,29,3,29
2320.0009999999893,False,29,3,29
2360.0009999999893,False,29,3,29
2400.0009999999893,False,29,3,29
2440.0009999999893,False,29,3,29
2480.0009999999893,False,29,3,29
2520.0009999999893,False,29,3,29
2560.0009999999893,False,29,3,29
2600.0009999999893,False,29,3,29
2640.0009999999893,False,29,3,29
2680.0009999999893,False,29,3,29
2720.0009999999893,False,29,3,29
2760.0009999999893,False,29,3,29
2800.0009999999893,False,29,3,29
2840.0009999999893,False,29,3,29
2880.0009999999893,False,29,3,29
2920.0009999999893,False,29,3,29
2960.0009999999893,False,29,3,29
3000.0009999999893,False,29,3,29
3040.0009999999893,False,29,3,29
3080.0009999999893,False,29,3,29
3120.0009999999893,False,29,3,29
3160.0009999999893,False,29,3,29
3200.0009999999893,False,29,3,29
4000.0009999999893,False,30,3,29
4040.0009999999893,False,30,3,29
4080.0009999999893,False,30,3,29
4120.000999999989,False,30,3,29
4160.000999999989,False,30,3,29
4200.000999999989,False,30,3,29
4240.000999999989,False,30,3,29
4280.000999999989,False,30,3,29
4320.000999999989,False,30,3,29
4360.000999999989,False,30,3,29
4400.000999999989,False,30,3,29
4440.000999999989,False,30,3,29
4480.000999999989,False,30,3,29
4520.000999999989,False,30,3,29
4560.000999999989,False,30,3,29
4600.000999999989,False,30,3,29
4640.000999999989,False,30,3,29
4680.000999999989,False,30,3,29
4720.000999999989,False,30,3,29
4760.000999999989,False,30,3,29
4800.000999999989,False,30,3,29
4840.000999999989,False,30,3,29
4880.000999999989,False,30,3,29
4920.000999999989,False,30,3,29
4960.000999999989,False,30,3,29
5000.000999999989,False,30,3,29
5040.000999999989,False,30,3,29
5080.000999999989,False,30,3,29
5120.000999999989,False,30,3,29
5160.000999999989,False,30,3,29
5200.000999999989,False,30,3,29
6000.000999999989,False,31,3,29
6040.000999999989,False,31,3,29
6080.000999999989,False,31,3,29
6120.000999999989,False,31,3,29
6160.000999999989,False,31,3,29
6200.000999999989,False,31,3,29
6240.000999999989,False,31,3,29
6280.000999999989,False,31,3,29
6320.000999999989,False,31,3,29
6360.000999999989,False,31,3,29
6400.000999999989,False,31,3,29
6440.000999999989,False,31,3,29
6480.000999999989,False,31,3,29
6520.000999999989,False,31,3,29
6560.000999999989,False,31,3,29
6600.000999999989,False,31,3,29
6640.000999999989,False,31,3,29
6680.000999999989,False,31,3,29
6720.000999999989,False,31,3,29
6760.000999999989,False,31,3,29
6800.000999999989,False,31,3,29
6840.000999999989,False,31,3,29
6880.000999999989,False,31,3,29
6920.000999999989,False,31,3,29
6960.000999999989,False,31,3,29
7000.000999999989,False,31,3,29
7040.000999999989,False,31,3,29
7080.000999999989,False,31,3,29
7120.000999999989,False,31,3,29
7160.000999999989,False,31,3,29
7200.000999999989,False,31,3,29
7240.000999999989,False,31,3,29
8000.000999999989,False,32,3,29
8040.000999999989,False,32,3,29
8080.000999999989,False,32,3,29
8120.000999999989,False,32,3,29
8160.000999999989,False,32,3,29
8200.00099999999,False,32,3,29
8240.00099999999,False,32,3,29
8280.00099999999,False,32,3,29
8320.00099999999,False,32,3,29
8360.00099999999,False,32,3,29
8400.00099999999,False,32,3,29
8440.00099999999,False,32,3,29
8480.00099999999,False,32,3,29
8520.00099999999,False,32,3,29
8560.00099999999,False,32,3,29
8600.00099999999,False,32,3,29
8640.00099999999,False,32,3,29
8680.00099999999,False,32,3,29
8720.00099999999,False,32,3,29
8760.00099999999,False,32,3,29
8800.00099999999,False,32,3,29
8840.00099999999,False,32,3,29
8880.00099999999,False,32,3,29
8920.00099999999,False,32,3,29
8960.00099999999,False,32,3,29
9000.00099999999,False,32,3,29
9040.00099999999,False,32,3,29
9080.00099999999,False,32,3,29
9120.00099999999,False,32,3,29
9160.00099999999,False,32,3,29
9200.00099999999,False,32,3,29
9240.00099999999,False,32,3,29
10000.00099999999,False,33,3,29
10040.00099999999,False,33,3,29
10080.00099999999,False,33,3,29
10120.00099999999,False,33,3,29
10160.00099999999,False,33,3,29
10200.00099999999,False,33,3,29
10240.00099999999,False,33,3,29
10280.00099999999,False,33,3,29
10320.00099999999,False,33,3,29
10360.00099999999,False,33,3,29
10400.00099999999,False,33,3,29
10440.00099999999,False,33,3,29
10480.00099999999,False,33,3,29
10520.00099999999,False,33,3,29
10560.00099999999,False,33,3,29
10600.00099999999,False,33,3,29
10640.00099999999,False,33,3,29
10680.00099999999,False,33,3,29
10720.00099999999,False,33,3,29
10760.00099999999,False,33,3,29
10800.00099999999,False,33,3,29
10840.00099999999,False,33,3,29
10880.00099999999,False,33,3,29
10920.00099999999,False,33,3,29
10960.00099999999,False,33,3,29
11000.00099999999,False,33,3,29
11040.00099999999,False,33,3,29
11080.00099999999,False,33,3,29
11120.00099999999,False,33,3,29
11160.00099999999,False,33,3,29
11200.00099999999,False,33,3,29
11240.00099999999,False,33,3,29
11280.00099999999,False,33,3,29
12000.00099999999,False,34,3,29
12040.00099999999,False,34,3,29
12080.00099999999,False,34,3,29
12120.00099999999,False,34,3,29
12160.00099999999,False,34,3,29
12200.00099999999,False,34,3,29
12240.00099999999,False,34,3,29
12280.00099999999,False,34,3,29
12320.00099999999,False,34,3,29
12360.00099999999,False,34,3,29
12400.00099999999,False,34,3,29
12440.00099999999,False,34,3,29
12480.00099999999,False,34,3,29
12520.00099999999,False,34,3,29
12560.00099999999,False,34,3,29
12600.00099999999,False,34,3,29
12640.00099999999,False,34,3,29
12680.00099999999,False,34,3,29
12720.00099999999,False,34,3,29
12760.00099999999,False,34,3,29
12800.00099999999,False,34,3,29
12840.00099999999,False,34,3,29
12880.00099999999,False,34,3,29
12920.00099999999,False,34,3,29
12960.00099999999,False,34,3,29
13000.00099999999,False,34,3,29
13040.00099999999,False,34,3,29
13080.00099999999,False,34,3,29
13120.00099999999,False,34,3,29
13160.00099999999,False,34,3,29
13200.00099999999,False,34,3,29
13240.00099999999,False,34,3,29
13280.00099999999,False,34,3,29
14000.00099999999,False,35,3,29
14040.00099999999,False,35,3,29
14080.00099999999,False,35,3,29
14120.00099999999,False,35,3,29
14160.00099999999,False,35,3,29
14200.00099999999,False,35,3,29
14240.00099999999,False,35,3,29
14280.00099999999,False,35,3,29
14320.00099999999,False,35,3,29
14360.00099999999,False,35,3,29
14400.00099999999,False,35,3,29
14440.00099999999,False,35,3,29
14480.00099999999,False,35,3,29
14520.00099999999,False,35,3,29
14560.00099999999,False,35,3,29
14600.00099999999,False,35,3,29
14640.00099999999,False,35,3,29
14680.00099999999,False,35,3,29
14720.00099999999,False,35,3,29
14760.00099999999,False,35,3,29
14800.00099999999,False,35,3,29
14840.001000000004,False,35,3,29
14880.001000000004,False,35,3,29
14920.001000000004,False,35,3,29
14960.001000000004,False,35,3,29
15000.001000000004,False,35,3,29
15040.001000000004,False,35,3,29
15080.001000000004,False,35,3,29
15120.001000000004,False,35,3,29
15160.001000000004,False,35,3,29
15200.001000000004,False,35,3,29
15240.001000000004,False,35,3,29
15280.001000000004,False,35,3,29
15320.001000000004,False,35,3,29
16000.001000000004,False,36,3,29
16040.001000000004,False,36,3,29
16080.001000000004,False,36,3,29
16120.001000000004,False,36,3,29
16160.001000000004,False,36,3,29
16200.001000000004,False,36,3,29
16240.001000000004,False,36,3,29
16280.001000000004,False,36,3,29
16320.001000000004,False,36,3,29
16360.001000000004,False,36,3,29
16400.001000000004,False,36,3,29
16440.001000000004,False,36,3,29
16480.001000000004,False,36,3,29
16520.001000000004,False,36,3,29
16560.001000000004,False,36,3,29
16600.001000000004,False,36,3,29
16640.001000000004,False,36,3,29
16680.001000000004,False,36,3,29
16720.001000000004,False,36,3,29
16760.001000000004,False,36,3,29
16800.001000000004,False,36,3,29
16840.001000000004,False,36,3,29
16880.001000000004,False,36,3,29
16920.001000000004,False,36,3,29
16960.001000000004,False,36,3,29
17000.001000000004,False,36,3,29
17040.001000000004,False,36,3,29
17080.001000000004,False,36,3,29
17120.001000000004,False,36,3,29
17160.001000000004,False,36,3,29
17200.001000000004,False,36,3,29
17240.001000000004,False,36,3,29
17280.001000000004,False,36,3,29
17320.001000000004,False,36,3,29
18000.001000000004,False,37,3,29
18040.001000000004,False,37,3,29
18080.001000000004,False,37,3,29
18120.001000000004,False,37,3,29
18160.001000000004,False,37,3,29
18200.001000000004,False,37,3,29
18240.001000000004,False,37,3,29
18280.001000000004,False,37,3,29
18320.001000000004,False,37,3,29
18360.001000000004,False,37,3,29
18400.001000000004,False,37,3,29
18440.001000000004,False,37,3,29
18480.001000000004,False,37,3,29
18520.001000000004,False,37,3,29
18560.001000000004,False,37,3,29
18600.001000000004,False,37,3,29
18640.001000000004,False,37,3,29
18680.001000000004,False,37,3,29
18720.001000000004,False,37,3,29
18760.001000000004,False,37,3,29
18800.001000000004,False,37,3,29
18840.001000000004,False,37,3,29
18880.001000000004,False,37,3,29
18920.001000000004,False,37,3,29
18960.001000000004,False,37,3,29
19000.001000000004,False,37,3,29
19040.001000000004,False,37,3,29
19080.001000000004,False,37,3,29
19120.001000000004,False,37,3,29
19160.001000000004,False,37,3,29
19200.001000000004,False,37,3,29
19240.001000000004,False,37,3,29
19280.001000000004,False,37,3,29
19320.001000000004,False,37,3,29
19360.001000000004,False,37,3,29
20000.001000000004,False,38,3,29
20040.001000000004,False,38,3,29
20080.001999999993,False,38,3,29
20120.001999999993,False,38,3,29
20160.001000000004,False,38,3,29
20200.001999999993,False,38,3,29
20240.001999999993,False,38,3,29
20280.001999999993,False,38,3,29
20320.001999999993,False,38,3,29
20360.001999999993,False,38,3,29
20400.001999999993,False,38,3,29
20440.001999999993,False,38,3,29
20480.001999999993,False,38,3,29
20520.001999999993,False,38,3,29
20560.001999999993,False,38,3,29
20600.001999999993,False,38,3,29
20640.001999999993,False,38,3,29
20680.001999999993,False,38,3,29
20720.001999999993,False,38,3,29
20760.001999999993,False,38,3,29
20800.001999999993,False,38,3,29
20840.001999999993,False,38,3,29
20880.001999999993,False,38,3,29
20920.001999999993,False,38,3,29
20960.001999999993,False,38,3,29
21000.001999999993,False,38,3,29
21040.001999999993,False,38,3,29
21080.001999999993,False,38,3,29
21120.001999999993,False,38,3,29
21160.001999999993,False,38,3,29
21200.001999999993,False,38,3,29
21240.001999999993,False,38,3,29
21280.001999999993,False,38,3,29
21320.001999999993,False,38,3,29
21360.001999999993,False,38,3,29
22000.001999999993,False,39,3,29
22040.001999999993,False,39,3,29
22080.001999999993,False,39,3,29
22120.001999999993,False,39,3,29
22160.001999999993,False,39,3,29
22200.001999999993,False,39,3,29
22240.001999999993,False,39,3,29
22280.001999999993,False,39,3,29
22320.001999999993,False,39,3,29
22360.001999999993,False,39,3,29
22400.001999999993,False,39,3,29
22440.001999999993,False,39,3,29
22480.001999999993,False,39,3,29
22520.001999999993,False,39,3,29
22560.001999999993,False,39,3,29
22600.001999999993,False,39,3,29
22640.001999999993,False,39,3,29
22680.001999999993,False,39,3,29
22720.001999999993,False,39,3,29
22760.001999999993,False,39,3,29
22800.001999999993,False,39,3,29
22840.001999999993,False,39,3,29
22880.001999999993,False,39,3,29
22920.001999999993,False,39,3,29
22960.001999999993,False,39,3,29
23000.001999999993,False,39,3,29
23040.001999999993,False,39,3,29
23080.001999999993,False,39,3,29
23120.001999999993,False,39,3,29
23160.001999999993,False,39,3,29
23200.001999999993,False,39,3,29
23240.001999999993,False,39,3,29
23280.001999999993,False,39,3,29
23320.001999999993,False,39,3,29
23360.001999999993,False,39,3,29
23400.001999999993,False,39,3,29
24000.001999999993,False,40,3,29
24040.001999999993,False,40,3,29
24080.001999999993,False,40,3,29
24120.001999999993,False,40,3,29
24160.001999999993,False,40,3,29
24200.001999999993,False,40,3,29
24240.001999999993,False,40,3,29
24280.001999999993,False,40,3,29
24320.001999999993,False,40,3,29
24360.001999999993,False,40,3,29
24400.001999999993,False,40,3,29
24440.001999999993,False,40,3,29
24480.001999999993,False,40,3,29
24520.001999999993,False,40,3,29
24560.001999999993,False,40,3,29
24600.001999999993,False,40,3,29
24640.001999999993,False,40,3,29
24680.001999999993,False,40,3,29
24720.001999999993,False,40,3,29
24760.001999999993,False,40,3,29
24800.001999999993,False,40,3,29
24840.001999999993,False,40,3,29
24880.001999999993,False,40,3,29
24920.001999999993,False,40,3,29
24960.001999999993,False,40,3,29
25000.001999999993,False,40,3,29
25040.001999999993,False,40,3,29
25080.001999999993,False,40,3,29
25120.001999999993,False,40,3,29
25160.001999999993,False,40,3,29
25200.001999999993,False,40,3,29
25240.001999999993,False,40,3,29
25280.001999999993,False,40,3,29
25320.001999999993,False,40,3,29
25360.001999999993,False,40,3,29
25400.001999999993,False,40,3,29
26000.001999999993,False,41,3,29
26040.001999999993,False,41,3,29
26080.001999999993,False,41,3,29
26120.001999999993,False,41,3,29
26160.001999999993,False,41,3,29
26200.001999999993,False,41,3,29
26240.001999999993,False,41,3,29
26280.001999999993,False,41,3,29
26320.001999999993,False,41,3,29
26360.001999999993,False,41,3,29
26400.001999999993,False,41,3,29
26440.001999999993,False,41,3,29
26480.001999999993,False,41,3,29
26520.001999999993,False,41,3,29
26560.001999999993,False,41,3,29
26600.001999999993,False,41,3,29
26640.001999999993,False,41,3,29
26680.001999999993,False,41,3,29
26720.001999999993,False,41,3,29
26760.001999999993,False,41,3,29
26800.001999999993,False,41,3,29
26840.001999999993,False,41,3,29
26880.001999999993,False,41,3,29
26920.001999999993,False,41,3,29
26960.001999999993,False,41,3,29
27000.001999999993,False,41,3,29
27040.001999999993,False,41,3,29
27080.001999999993,False,41,3,29
27120.001999999993,False,41,3,29
27160.001999999993,False,41,3,29
27200.001999999993,False,41,3,29
27240.001999999993,False,41,3,29
27280.001999999993,False,41,3,29
27320.001999999993,False,41,3,29
27360.001999999993,False,41,3,29
27400.001999999993,False,41,3,29
27440.001999999993,False,41,3,29
28000.001999999993,False,42,3,29
28040.001999999993,False,42,3,29
28080.001999999993,False,42,3,29
28120.001999999993,False,42,3,29
28160.001999999993,False,42,3,29
28200.001999999993,False,42,3,29
28240.001999999993,False,42,3,29
28280.001999999993,False,42,3,29
28320.001999999993,False,42,3,29
28360.001999999993,False,42,3,29
28400.001999999993,False,42,3,29
28440.001999999993,False,42,3,29
28480.001999999993,False,42,3,29
28520.001999999993,False,42,3,29
28560.001999999993,False,42,3,29
28600.001999999993,False,42,3,29
28640.001999999993,False,42,3,29
28680.001999999993,False,42,3,29
28720.001999999993,False,42,3,29
28760.001999999993,False,42,3,29
28800.001999999993,False,42,3,29
28840.001999999993,False,42,3,29
28880.001999999993,False,42,3,29
28920.001999999993,False,42,3,29
28960.001999999993,False,42,3,29
29000.001999999993,False,42,3,29
29040.001999999993,False,42,3,29
29080.001999999993,False,42,3,29
29120.001999999993,False,42,3,29
29160.001999999993,False,42,3,29
29200.001999999993,False,42,3,29
29240.001999999993,False,42,3,29
29280.001999999993,False,42,3,29
29320.001999999993,False,42,3,29
29360.001999999993,False,42,3,29
29400.001999999993,False,42,3,29
29440.001999999993,False,42,3,29
30000.001999999993,False,43,3,29
30040.001999999993,False,43,3,29
30080.001999999993,False,43,3,29
30120.001999999993,False,43,3,29
30160.001999999993,False,43,3,29
30200.001999999993,False,43,3,29
30240.001999999993,False,43,3,29
30280.001999999993,False,43,3,29
30320.001999999993,False,43,3,29
30360.001999999993,False,43,3,29
30400.001999999993,False,43,3,29
30440.001999999993,False,43,3,29
30480.001999999993,False,43,3,29
30520.001999999993,False,43,3,29
30560.001999999993,False,43,3,29
30600.001999999993,False,43,3,29
30640.001999999993,False,43,3,29
30680.001999999993,False,43,3,29
30720.001999999993,False,43,3,29
30760.001999999993,False,43,3,29
30800.001999999993,False,43,3,29
30840.001999999993,False,43,3,29
30880.001999999993,False,43,3,29
30920.001999999993,False,43,3,29
30960.001999999993,False,43,3,29
31000.001999999993,False,43,3,29
31040.001999999993,False,43,3,29
31080.001999999993,False,43,3,29
31120.001999999993,False,43,3,29
31160.001999999993,False,43,3,29
31200.001999999993,False,43,3,29
31240.001999999993,False,43,3,29
31280.001999999993,False,43,3,29
31320.001999999993,False,43,3,29
31360.001999999993,False,43,3,29
31400.001999999993,False,43,3,29
31440.001999999993,False,43,3,29
31480.001999999993,False,43,3,29
32000.001999999993,False,44,3,29
32040.001999999993,False,44,3,29
32080.001999999993,False,44,3,29
32120.001999999993,False,44,3,29
32160.001999999993,False,44,3,29
32200.001999999993,False,44,3,29
32240.001999999993,False,44,3,29
32280.001999999993,False,44,3,29
32320.001999999993,False,44,3,29
32360.001999999993,False,44,3,29
32400.001999999993,False,44,3,29
32440.001999999993,False,44,3,29
32480.001999999993,False,44,3,29
32520.001999999993,False,44,3,29
32560.001999999993,False,44,3,29
32600.001999999993,False,44,3,29
32640.001999999993,False,44,3,29
