SNR(dB),MCS,Current Samples
0.5,0,89
1.0,0,304
1.5,0,784
3.0,0,1607
3.5,1,1668
5.5,1,1722
2.0,2,1795
2.5,0,1917
1.5,1,2007
2.5,1,2086
6.5,1,2357
4.5,1,2504
2.0,0,2558
0.5,1,5048
