pdc,5.00,1,1
pdc,5.00,1,2
pdc,5.00,1,3
pdc,5.00,1,4
pdc,5.00,1,5
pdc,5.00,1,6
pdc,5.00,1,7
pdc,5.00,1,8
pdc,5.00,1,9
pdc,5.00,1,10
pdc,5.00,1,11
pdc,5.00,1,12
pdc,5.00,1,1
pdc,5.00,1,14
pdc,5.00,1,1
pdc,5.00,1,17
pdc,5.00,1,18
pdc,5.00,1,20
pdc,5.00,1,2
pdc,5.00,1,23
pdc,5.00,1,2
pdc,5.00,1,26
pdc,5.00,1,2
pdc,5.00,1,2
pdc,5.00,1,31
pdc,5.00,1,3
pdc,5.00,1,36
pdc,5.00,1,37
pdc,5.00,1,39
pdc,5.00,1,41
pdc,5.00,1,43
pdc,5.00,1,44
pdc,5.00,1,4
pdc,5.00,1,48
pdc,5.00,1,5
pdc,5.00,1,51
pdc,5.00,1,5
pdc,5.00,1,5
pdc,5.00,1,55
pdc,5.00,1,56
pdc,5.00,1,5
pdc,5.00,1,5
pdc,5.00,1,6
pdc,5.00,1,6
pdc,5.00,1,6
pdc,5.00,1,6
pdc,5.00,1,69
pdc,5.00,1,7
pdc,5.00,1,7
pdc,5.00,1,73
pdc,5.00,1,7
pdc,5.00,1,7
pdc,5.00,1,7
pdc,5.00,1,7
pdc,5.00,1,81
pdc,5.00,1,83
pdc,5.00,1,8
pdc,5.00,1,87
pdc,5.00,1,8
pdc,5.00,1,9
pdc,5.00,1,91
pdc,5.00,1,92
pdc,5.00,1,9
pdc,5.00,1,9
pdc,5.00,1,9
pdc,5.00,1,99
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,107
pdc,5.00,1,1
pdc,5.00,1,11
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,11
pdc,5.00,1,1
pdc,5.00,1,12
pdc,5.00,1,12
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,12
pdc,5.00,1,12
pdc,5.00,1,13
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,14
pdc,5.00,1,14
pdc,5.00,1,151
pdc,5.00,1,15
pdc,5.00,1,1
pdc,5.00,1,15
pdc,5.00,1,158
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,16
pdc,5.00,1,16
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,1
pdc,5.00,1,17
