channel,snr,mcs,seq_number
pcc_err,0.50,0,1665
pcc_err,0.50,0,1665
pdc,0.50,0,1677
pcc_err,0.50,0,1678
pcc_err,0.50,0,1703
pcc_err,0.50,0,1703
pcc_err,0.50,0,1715
pdc,0.50,0,1720
pcc_err,0.50,0,1721
pcc_err,0.50,0,1721
pcc_err,0.50,0,1787
pdc,0.50,0,1788
pdc,0.50,0,1794
pcc_err,0.50,0,1798
pcc_err,0.50,0,1798
pcc_err,0.50,0,1803
pcc_err,0.50,0,1812
pcc_err,0.50,0,1812
pdc,0.50,0,1823
pcc_err,0.50,0,1832
pdc,0.50,0,1899
pdc,0.50,0,1902
pcc_err,0.50,0,1918
pcc_err,0.50,0,1918
pcc_err,0.50,0,1918
pcc_err,0.50,0,1918
pcc_err,0.50,0,1918
pcc_err,0.50,0,1930
pcc_err,0.50,0,1930
pcc_err,0.50,0,1930
pcc_err,0.50,0,1930
pcc_err,0.50,0,1930
pcc_err,0.50,0,1968
pdc,0.50,0,1991
pcc_err,0.50,0,1992
pcc_err,0.50,0,1992
pdc,0.50,0,1994
pdc,0.50,0,1996
pdc,0.50,0,2008
pcc_err,0.50,0,2009
pdc,0.50,0,2013
pcc_err,0.50,0,2014
pcc_err,0.50,0,2014
pdc,0.50,0,2033
pcc_err,0.50,0,2034
pcc_err,0.50,0,2044
pcc_err,0.50,0,2044
pcc_err,0.50,0,2044
pcc_err,0.50,0,2055
pcc_err,0.50,0,2055
pcc_err,0.50,0,2055
pdc,0.50,0,2067
pcc_err,0.50,0,2072
pdc,0.50,0,2073
pcc_err,0.50,0,2074
pdc,0.50,0,2077
pcc_err,0.50,0,2083
pcc_err,0.50,0,2088
pcc_err,0.50,0,2102
pcc_err,0.50,0,2102
pdc,0.50,0,2111
pdc,0.50,0,2112
pcc_err,0.50,0,2113
pdc,0.50,0,2114
pcc_err,0.50,0,2120
pcc_err,0.50,0,2120
pcc_err,0.50,0,2120
pdc,0.50,0,2149
pdc,0.50,0,2159
pdc,0.50,0,2161
pdc,0.50,0,2166
pcc_err,0.50,0,2167
pdc,0.50,0,2171
pcc_err,0.50,0,2172
pcc_err,0.50,0,2172
pdc,0.50,0,2181
pcc_err,0.50,0,2183
pcc_err,0.50,0,2189
pcc_err,0.50,0,2193
pcc_err,0.50,0,2193
pcc_err,0.50,0,2201
pdc,0.50,0,2205
pcc_err,0.50,0,2215
pcc_err,0.50,0,2226
pdc,0.50,0,2236
pcc_err,0.50,0,2237
pcc_err,0.50,0,2237
pcc_err,0.50,0,2251
pdc,0.50,0,2253
pdc,0.50,0,2255
pdc,0.50,0,2260
pcc_err,0.50,0,2261
pcc_err,0.50,0,2261
pcc_err,0.50,0,2275
pcc_err,0.50,0,2275
pcc_err,0.50,0,2275
pdc,0.50,0,2286
pdc,0.50,0,2293
pcc_err,0.50,0,2294
pcc_err,0.50,0,2294
pdc,0.50,0,2300
pcc_err,0.50,0,2301
pcc_err,0.50,0,2301
pdc,0.50,0,2306
pdc,0.50,0,2311
pcc_err,0.50,0,2314
pcc_err,0.50,0,2314
pcc_err,0.50,0,2314
pcc_err,0.50,0,2314
pdc,0.50,0,2324
pdc,0.50,0,2345
pcc_err,0.50,0,2346
pdc,0.50,0,2351
pcc_err,0.50,0,2362
pcc_err,0.50,0,2362
pcc_err,0.50,0,2362
pdc,0.50,0,2368
pcc_err,0.50,0,2369
pcc_err,0.50,0,2373
pcc_err,0.50,0,2373
pcc_err,0.50,0,2373
pdc,0.50,0,2417
pcc_err,0.50,0,2420
pcc_err,0.50,0,2420
pcc_err,0.50,0,2420
pcc_err,0.50,0,2420
pcc_err,0.50,0,2444
pcc_err,0.50,0,2444
pcc_err,0.50,0,2444
pcc_err,0.50,0,2464
pcc_err,0.50,0,2472
pcc_err,0.50,0,2472
pdc,0.50,0,2476
pcc_err,0.50,0,2487
pcc_err,0.50,0,2495
pcc_err,0.50,0,2495
pdc,0.50,0,2500
pcc_err,0.50,0,2501
pdc,0.50,0,2521
pdc,0.50,0,2525
pdc,0.50,0,2526
pdc,0.50,0,2529
pcc_err,0.50,0,2530
pcc_err,0.50,0,2530
pdc,0.50,0,2536
pdc,0.50,0,2546
pcc_err,0.50,0,2555
pdc,0.50,0,2561
pdc,0.50,0,2563
pcc_err,0.50,0,2564
