rx_id,rx_testing_mcs,rx_rssi_low_level,rx_rssi_high_level,rx_phy_transmit_pwr_low,rx_phy_transmit_pwr_high,rx_snr_low,rx_snr_high
38,4,-83,-80,-12,-12,22,107
38,4,-84,-81,-12,-12,17,104
38,4,-83,-81,-12,-12,35,104
38,4,-84,-80,-12,-12,46,114
38,4,-84,-81,-12,-12,40,105
38,4,-84,-81,-12,-12,44,110
38,4,-84,-80,-12,-12,27,106
38,4,-83,-80,-12,-12,29,107
38,4,-83,-80,-12,-12,29,109
38,4,-83,-80,-12,-12,18,108
38,4,-83,-79,-12,-12,29,105
38,4,-88,-79,-12,-12,31,106


