SNR(dB),MCS,Current Samples
0.5,1,9746
10.0,1,13574
5.0,1,16138
21.0,1,34927
16.0,1,36018
23.0,1,39008
15.0,1,40689
30.0,1,41989
27.0,1,42145
35.0,1,62354
12.0,1,65389
20.0,1,82690
32.0,1,182822
25.0,1,188215
